Vuosi,Tyyppi,"SSTP, STPV, SKDL",SDP,Vihreät,Muut,Ruotsalainen kansanpuolue,Keskusta,Persut (yms),KD,Kokoomus (Suomalainen Puolue),Nuorsuomalainen puolue,Yhteensä
1907,1,,37.03,,3.63,12.6,5.75,,,27.34,13.65,100
1908,1,,38.4,,2.8,12.74,6.39,,,25.44,14.23,100
1909,1,,39.89,,2.95,12.31,6.73,,,23.62,14.5,100
1910,1,,40.04,,2.32,13.53,7.6,,,22.07,14.44,100
1911,1,,40.03,,2.23,13.31,7.84,,,21.71,14.88,100
1913,1,,43.11,,1.94,13.07,7.87,,,19.88,14.13,100
1916,1,,47.29,,1.96,11.76,9,,,17.49,12.5,100
1917,1,,44.79,,4.23,10.9,12.38,,,15.83,11.87,100
1919,1,0,37.98,,1.67,12.13,19.7,,,15.71,12.81,100
1922,1,14.81,25.06,,0.09,12.41,20.27,,,18.15,9.21,100
1924,1,10.45,29.02,,0.17,12.03,20.25,,,18.99,9.09,100
1927,1,12.08,28.3,,0.35,12.2,22.56,,,17.74,6.77,100
1929,1,13.47,27.36,,1.46,11.45,26.15,,,14.51,5.6,100
1930,1,1.02,34.16,,3.63,10.03,27.28,,,18.05,5.83,100
1933,1,0,37.33,,5.37,10.42,22.54,,,16.93,7.41,100
1936,1,0,38.59,,11.16,11.2,22.41,,,10.36,6.28,100
1939,1,0,39.77,,9.37,9.61,22.86,,,13.58,4.81,100
1945,1,23.47,25.08,,1.99,7.9,21.35,,,15.04,5.17,100
1948,1,19.98,26.32,,1.17,7.34,24.24,,,17.04,3.91,100
1950,2,23.04,25.05,,29.56,7.25,8.09,,,5.85,1.16,100
1951,1,21.58,26.52,,1.19,7.2,23.26,,,14.57,5.68,100
1953,2,23.1,25.53,,17.51,6.85,16,,,7.59,3.42,100
1954,1,21.57,26.25,,0.64,6.76,24.1,,,12.8,7.88,100
1956,2,21.17,25.42,,16.28,6.08,21.9,,,6.29,2.86,100
1958,1,23.16,23.12,,2.98,6.5,23.06,,,15.28,5.9,100
1960,2,21.1,21.1,,9.24,6.32,20.44,2.68,,14.04,5.08,100
1962,1,22.02,19.5,,8.02,6.11,22.95,,,15.06,6.34,100
1964,2,21.94,24.75,,13.28,5.64,19.3,1.43,,9.95,3.71,100
1966,1,21.2,27.23,,2.91,5.69,21.23,1.03,0.45,13.79,6.47,100
1968,2,16.91,23.86,,5.9,5.6,18.9,7.29,,16.09,5.45,100
1970,1,16.58,23.43,,1.91,5.34,17.12,10.49,1.13,18.05,5.95,100
1972,1,17.02,25.78,,1.29,5.06,16.41,9.16,2.53,17.59,5.16,100
1972.5,2,17.48,27.05,,2.04,5.2,17.99,5,1.99,18.06,5.19,100
1975,1,18.89,24.86,,4.36,4.66,17.63,3.59,3.29,18.37,4.35,100
1976,2,18.45,24.82,,2.66,4.7,18.4,2.09,3.2,20.92,4.76,100
1979,1,17.9,23.89,,2,4.23,17.29,4.58,4.78,21.65,3.68,100
1980,2,16.64,25.5,,1.61,4.68,18.7,3.04,3.68,22.94,3.21,100
1983,1,13.46,26.71,1.47,1.28,4.61,17.63,9.69,3.03,22.12,0,100
1984,2,13.15,24.7,2.83,2.79,5.11,20.2,5.28,2.98,22.96,0,100
1987,1,9.39,24.14,4.03,6.52,5.3,17.62,6.32,2.58,23.13,0.97,100
1988,2,10.29,25.23,2.4,5.36,5.29,21.1,3.62,2.72,22.87,1.12,100
1991,1,10.08,22.12,6.82,2.68,5.48,24.83,4.85,3.05,19.31,0.78,100
1992,2,11.67,27.08,6.94,4.44,5.02,19.2,2.44,3.17,19.05,0.99,100
1995,1,11.16,28.25,6.52,6.35,5.14,19.85,1.3,2.96,17.89,0.58,100
1996,2,10.37,24.55,6.28,5.43,5.45,21.8,0.93,3.18,21.64,0.37,100
1996.5,3,10.51,21.45,7.59,6.28,5.75,24.4,0.67,2.81,20.17,0.37,100
1999,1,10.88,22.86,7.27,5.09,5.12,22.4,0.99,4.17,21.03,0.19,100
1999.5,3,9.08,17.86,13.43,3.11,6.77,21.3,0.79,2.39,25.27,0,100
2000,2,9.88,22.99,7.72,4.75,5.09,23.8,0.66,4.27,20.84,0,100
2003,1,9.93,24.47,8.01,2.52,4.61,24.69,1.57,5.34,18.55,0.31,100
2004,2,9.56,24.11,7.37,4.24,5.19,22.8,0.9,3.96,21.83,0.04,100
2004.5,3,9.13,21.16,10.43,3.82,5.7,23.4,0.54,1.9,23.71,0.21,100
2007,1,8.82,21.44,8.46,2.32,4.57,23.11,4.05,4.86,22.26,0.11,100
2008,2,8.77,21.23,8.94,3.24,4.7,20.1,5.39,4.18,23.45,0,100
2009,3,5.93,17.54,12.4,1.87,6.09,19,9.79,4.17,23.21,0,100
2011,1,8.13,19.1,7.25,2.02,4.28,15.76,19.05,4.03,20.38,0,100
2012,2,8,19.57,8.5,2.63,4.7,18.7,12.3,3.7,21.9,0,100
2014,3,9.32,12.31,9.33,1.88,6.76,19.7,12.87,5.24,22.59,0,100
2015,1,7.1,16.5,8.5,2.6,4.9,21.1,17.6,3.5,18.2,0,100
